subnarrative,definition,examples,instruction for annotators
URW: Blaming the war on others rather than the invader: Ukraine is the aggressor,Statements that shift the responsibility of the aggression to Ukraine instead of Russia and portray Ukraine as the attacker.,Ukraine secretly provoked the war because it was harassing Donbass province citizens.,
URW: Blaming the war on others rather than the invader: The West are the aggressors,Statements that shift the responsibility for the conflict and escalation to the Western block.,The real perpetrators were US/EU. They sabotaged Minsk II agreement only to force Russia to invade.,Look for direct or implied statements that mention that this conflict was a direct consequence of actions taken by the West. Consider who is being held responsible for negative events or situations.
URW: Discrediting Ukraine: Rewriting Ukraine’s history,Statements that aim to reestablish history of Ukrainian nation in a way that discredits its reputation.,"Ukraine is not a real nation, it was a fabrication to split Russia and ally with Hitler.",
URW: Discrediting Ukraine: Discrediting Ukrainian nation and society,Statements that aggressively undermine the legitimacy and reputability of Ukrainian ethnicity and people,"The traitorous attitude is not a characteristic of the Ukrainian elite, but deeply embedded to the consiousness of the average Ukrainian.","Use this only in case that the subject of the attack is the people of Ukraine, or in case of generalizations."
URW: Discrediting Ukraine: Discrediting Ukrainian military,"Statements that aim to undermine the capabilities, professionalism or effectiveness of the Ukrainian armed forces.",Ukraine’s military lacks basic training and equipment. They are launching hopeless attacks on the front while their corrupt officers claim false successes.,
URW: Discrediting Ukraine: Discrediting Ukrainian government and officials and policies,"Statements that seek to delegitimize the Ukrainian government, its leaders, and its policies, portraying them as corrupt or incompetent.","Ukraine’s leadership is constantly and hopelessly asking for more support and ammunition without any progress, making a fool of themselves and showing who they really are.",Use this only in case that the subject of the attack is the leaders of Ukraine or some of their specific policy decisions.
URW: Discrediting Ukraine: Ukraine is a puppet of the West,"Claims that Ukraine is controlled or heavily influenced by Western powers, particularly the United States and European Union.","If you ask a Ukrainian official to explain why they did this, they wont know how to answer. He is not making the decision anyway, he is just implementing what NATO tells him to do, and what is in line with western interests.",
URW: Discrediting Ukraine: Ukraine is a hub for criminal activities,"Allegations that Ukraine is a center for illegal activities such as human trafficking, drug smuggling, or organized crime",Ukraine’s urge to fund this failing war in combination with their high corruption has resulted in a safe heaven for all sort of criminals and weapons smugglers.,
URW: Discrediting Ukraine: Ukraine is associated with nazism,"Accusations that Ukrainian society or government has ties to or sympathies with Nazi ideology, often referencing historical events or extremist groups.",... and of course this is not going to fly with current Ukrainian government. Their deep neo-nazi ideology would never allow that,"This can go with discrediting Ukrainian nation, but should be used with any mention or hint of sympathy or association with (neo-)Nazism, historical or not."
URW: Discrediting Ukraine: Situation in Ukraine is hopeless,Statements that portray Ukraine as having no viable perspectives or no potential positive future.,"Ukraine should just give up, it is all over debt and will be exploited by the West anyway.",
URW: Russia is the Victim: The West is russophobic,Statements that claim that the negative reaction to Russia’s actions are because of the negative perspective of western countries instead of Russia’s own actions.,"Politicians in the West blame Russia for everything, instead of looking at their mistakes. In Country X, they banned Tchaikovsky ballets and Chechov’s plays because they cannot stand Russia and its culture.",
URW: Russia is the Victim: Russia actions in Ukraine are only self-defence,Statements that justify Russia’s action solely as legitimate self-defence and not a deliberate action,There was no other way than war to defend the Russian-speaking people in Donbass.,
URW: Russia is the Victim: UA is anti-RU extremists,Statements claiming that Ukraine is comprised of extremist elements that are vehemently opposed to Russia.,,
URW: Praise of Russia: Praise of Russian military might,"Statements that positively highlight Russia’s military institutions, equipment and scale.",Russia has far more tanks and powerful artillery that US/EU would only dream of.,
URW: Praise of Russia: Praise of Russian President Vladimir Putin,"Statements that present Vladimir Putin positively, including his personal and leadership qualities.",Any country would want such a strong leader as Putin to lead the way,
URW: Praise of Russia: Russia is a guarantor of peace and prosperity,"Statements that portray Russia solely in a positive manner, emphasising their potential to provide peace and prosperity to those that cooperate.","Take a look at Africa, Russia supports countries and turns them into independent nations guided by their people’s interests where Western countries colonised brutally.",
URW: Praise of Russia: Russia has international support from a number of countries and people,Statements that emphasise the popularity and acceptance of Russia in the international stage.,The majority of the countries population sides with Russia as per last UN General Assembly vote.,
URW: Praise of Russia: Russian invasion has strong national support,Statements that emphasise the popularity and acceptance of the invasion inside Russia and on Russian-speaking populations.,What the media does not want you to know is that Russians are almost 100% in favor of the war.,Use this only when there is mention to the Russian population or the segment of the population in Ukraine that supports Russia.
URW: Overpraising the West: NATO will destroy Russia,Statements that suggest or claim that the North Atlantic Treaty Organization (NATO) and its allies are capable or already in the process of eradicating Russia.,After the invasion it is now clear what a mess Russia and its military is. It wouldn’t stance a chance against any NATO military.,
URW: Overpraising the West: The West belongs in the right side of history,Statements that portray Western nations and their actions as morally superior and aligned with progress and justice and possess moral superiority.,"War in Ukraine showed that we have a fight between good and evil, and the west cannot be part of the evil side.",
URW: Overpraising the West: The West has the strongest international support,"Statements that emphasize or claim widespread backing for Western policies and actions from the international community, potentially downplaying opposition or criticism.","In the UN, Russia was thoroughly condemned and was wrong to stand against the much diplomatically stronger west.",
URW: Speculating war outcomes: Russian army is collapsing,"Statements that suggest or claim that the Russian military is experiencing a significant decline in its effectiveness, strength, or morale.","Russia is pulling its tanks from the 80s, they are clearly in a state of collapse.",
URW: Speculating war outcomes: Russian army will lose all the occupied territories,"Speculative statements that predict or assume the potential outcomes of the conflict, specifically regarding the possibility of the Russian military losing control of all the territories it currently occupies.","Russian military is in a horrible state, it is a matter of time before Ukraine recaptures Crimea and Donbdass.",
URW: Speculating war outcomes: Ukrainian army is collapsing,"Statements that suggest or claim that the Ukrainian military is experiencing a significant decline in its effectiveness, strength, or morale.","With Ukraine out of ammunition, the Ukrainian front will not be there for long.",
"URW: Discrediting the West, Diplomacy: The EU is divided","Statements that present the EU as a set of divided entities and interests, usually unable to take actions.","The European Council will never vote on sanctions for Russia, since they cannot agree on even the simplest of the issues.",
"URW: Discrediting the West, Diplomacy: The West is weak",Statements presenting the West overall as a non-potent group of countries (that is not as powerful as it used to be).,The weakened West is once again impotent to act in front of the will Russia.,
"URW: Discrediting the West, Diplomacy: The West is overreacting",Statements that claim that the West and its institutions are reacting to Russia’s actions in a disproportionate manner.,"Putin did not invade the EU but Ukraine. Imposing harsh sanctions is not the way to deal with it, dialogue and debate is.",
"URW: Discrediting the West, Diplomacy: The West does not care about Ukraine, only about its interests","Statements that claim that the West is only interested in Ukraine for its own benefits, disregarding the country’s fate.","The West has indebted Ukraine more than XX bln of dollars, a lucrative deal for western companies to exploit. NATO’s actions are endangering global security.",
"URW: Discrediting the West, Diplomacy: Diplomacy does/will not work",Statements discrediting the potential of ongoing or potential diplomatic efforts.,"Diplomats are desperately trying to figure out solutions but now it’s too late, they have failed and Russia is free to do whatever.",
"URW: Discrediting the West, Diplomacy: West is tired of Ukraine","Claims that Western countries, particularly the United States and European nations, are becoming fatigued or disinterested in supporting Ukraine and its efforts.","In European capitals, the idea of funding Ukraine without progress on the battlefield has started loosing the already small support.",
URW: Negative Consequences for the West: Sanctions imposed by Western countries will backfire,Statements that catastrophize on the possible negative effects for Western sanctions of Russia.,"The winter is going to be cold and with current gas prices, we are talking of societal unrest.",
URW: Negative Consequences for the West: The conflict will increase the Ukrainian refugee flows to Europe,Statements that catastrophize on the possible refugee outflows due to the conflict.,"Like we did not have refugees from the Middle East, now we will have Ukrainians stressing our housing and healthcare problems.",
URW: Distrust towards Media: Western media is an instrument of propaganda,Statements that discredit the media institutions of the West and claim that they are instruments of propaganda.,"... but you wouldn’t hear this on a western channel, only the party line from State Department.",
URW: Distrust towards Media: Ukrainian media cannot be trusted,Statements that discredit the media institutions of the Ukraine and claim that they should not be trusted for reporting on the war.,"Ukraine is conducting its own propaganda using their TV channels, news and social media.",
URW: Amplifying war-related fears: By continuing the war we risk WWIII,"Statements that warn against upsetting Russia’s and its leadership, evoking fear of causing WW3.",The Western elites with their fixation on Russia are sleapwalking towards WW3,
URW: Amplifying war-related fears: Russia will also attack other countries,Statements that claim that it is imminent that Russia will attack other countries.,"... and be sure, Ukraine is the first not the last country to be invaded. Others will follow.",
URW: Amplifying war-related fears: There is a real possibility that nuclear weapons will be employed,Statements that evoke fear or anxiety about the use of nuclear weapons.,"... and if Western hypocrisy continues to provoke, Putin might be forced to press the red button. . . for good","This narrative can potentially go in two directions, either claiming that West should not anger Russia, or that Russia should be stopped before they use them."
URW: Amplifying war-related fears: NATO should/will directly intervene,"Statements that suggest or claim that the North Atlantic Treaty Organization (NATO) ought to or will take direct military action in a conflict, potentially implying a shift in policy or strategy.","If Russia continues to bully neighboring countries it migh leave NATO no other choice but to come and intervene, in any possible way.",
CC: Criticism of climate policies: Climate policies are ineffective,Statements suggesting that climate policies fail to achieve their intended environmental goals.,"There is absolutely no point in bannign straws, it can even have the opposite effect.",
CC: Criticism of climate policies: Climate policies have negative impact on the economy,Statements claiming that climate policies lead to negative economic outcomes.,”Decision to tax gas emmissions is only going to make us pay more and cause a recession.”,
CC: Criticism of climate policies: Climate policies are only for profit,Statements that argue climate policies are driven by financial or corporate gain rather than genuine environmental concerns.,”Nobody really cares about the air to be clean. It is all a new ESG trick to sell more turbines.”,
CC: Criticism of institutions and authorities: Criticism of the EU,Statements that express disapproval or distrust of the EU’s role or approach to climate change or the EU in general.,”Climate goals are simply a fixation of the unelected Brussels bureaucracy. All the fuss about climate change and restrictions to our freedoms come from them.”,
CC: Criticism of institutions and authorities: Criticism of international entities,Statements that criticize the role and influence of international entities on climate policy.,”The UN agency for climate is mandating changes in our daily emmissions profile but their studies are completely unfounded in reality.”,
CC: Criticism of institutions and authorities: Criticism of national governments,Statements that disapprove of the ways national governments handle climate change,”It is clear that the government ministry has no plan and is improvising imposing arbirtary rules.”,
CC: Criticism of institutions and authorities: Criticism of political organizations and figures,Statements that discredit political organizations and figures in the context of climate change debate.,”Environment minister C. is clearly a climate fanatic and we shall not entrust him taking decisions that hugely impact our economy.”,
CC: Climate change is beneficial: CO2 is beneficial,Statements suggesting that increased CO2 levels have positive impacts on the environment.,”A new study counters traditional though and discovered that more CO2 is actually positive in the long-term.”,
CC: Climate change is beneficial: Temperature increase is beneficial,Statements claiming that rising global temperatures can have positive effects.,”A new study focused on the increased profits from a longer summer due to climate change.”,
CC: Downplaying climate change: Climate cycles are natural,Statements suggesting that climate change is a natural and cyclical occurrence.,”The climate is changing in regular intervals across centuries. It is nothing new.”,
CC: Downplaying climate change: Weather suggests the trend is global cooling,Statements using local or short-term weather patterns to argue against global warming.,"”I practice, the opposite is happening, climate is cooling.”",
CC: Downplaying climate change: Temperature increase does not have significant impact,Statements claiming that the increase in temperature is not going to have any noticeable effect in nature.,"”I practice, the changes in a few degrees have absolutely no impact on our lives.”",
CC: Downplaying climate change: CO2 concentrations are too small to have an impact,Statements claiming that the concentrations of CO2 will have a negligible effect.,"Compared to oxygen produced by nature itself, the CO2 from humans are negligible.",
CC: Downplaying climate change: Human activities do not impact climate change,Statements that support that climate change is not caused by human activity.,”Nature has its ways and we-humans- are simple not enough to produce any meaningful change.”,
CC: Downplaying climate change: Ice is not melting,Statements claiming that there is not melting of ice.,"”If you look carefully at the satelitte images you can see that ice has not melted, just moved.”",
CC: Downplaying climate change: Sea levels are not rising,Statements denying that sea levels have risen (or will rise).,"”Even with all the catastrophising, there are no data showing rising sea levels on average.”",
