split,language,subnarrative,count
dev,BG,CC: Amplifying Climate Fears: Amplifying existing fears of global warming,5
dev,BG,CC: Downplaying climate change: Weather suggests the trend is global cooling,2
dev,BG,URW: Discrediting Ukraine: Ukraine is a puppet of the West,2
dev,BG,URW: Russia is the Victim: The West is russophobic,2
dev,BG,CC: Amplifying Climate Fears: Doomsday scenarios for humans,1
dev,BG,CC: Green policies are geopolitical instruments: Green activities are a form of neo-colonialism,1
dev,BG,CC: Hidden plots by secret schemes of powerful groups: Blaming global elites,1
dev,BG,URW: Amplifying war-related fears: By continuing the war we risk WWIII,1
dev,BG,URW: Amplifying war-related fears: Russia will also attack other countries,1
dev,BG,URW: Amplifying war-related fears: There is a real possibility that nuclear weapons will be employed,1
dev,BG,URW: Blaming the war on others rather than the invader: Ukraine is the aggressor,1
dev,BG,URW: Discrediting Ukraine: Discrediting Ukrainian government and officials and policies,1
dev,BG,URW: Discrediting Ukraine: Ukraine is associated with nazism,1
dev,EN,CC: Criticism of climate movement: Climate movement is alarmist,2
dev,EN,CC: Criticism of institutions and authorities: Criticism of political organizations and figures,2
dev,EN,URW: Discrediting Ukraine: Discrediting Ukrainian government and officials and policies,2
dev,EN,URW: Speculating war outcomes: Russian army is collapsing,2
dev,EN,CC: Climate change is beneficial: CO2 is beneficial,1
dev,EN,CC: Controversy about green technologies: Renewable energy is dangerous,1
dev,EN,CC: Criticism of climate movement: Ad hominem attacks on key activists,1
dev,EN,CC: Criticism of climate policies: Climate policies are only for profit,1
dev,EN,CC: Criticism of climate policies: Climate policies have negative impact on the economy,1
dev,EN,CC: Criticism of institutions and authorities: Criticism of international entities,1
dev,EN,CC: Hidden plots by secret schemes of powerful groups: Blaming global elites,1
dev,EN,CC: Hidden plots by secret schemes of powerful groups: Climate agenda has hidden motives,1
dev,EN,URW: Blaming the war on others rather than the invader: The West are the aggressors,1
dev,EN,URW: Discrediting Ukraine: Situation in Ukraine is hopeless,1
dev,EN,"URW: Discrediting the West, Diplomacy: The EU is divided",1
dev,EN,"URW: Discrediting the West, Diplomacy: The West does not care about Ukraine, only about its interests",1
dev,EN,"URW: Discrediting the West, Diplomacy: The West is weak",1
dev,EN,URW: Negative Consequences for the West: Sanctions imposed by Western countries will backfire,1
dev,EN,URW: Overpraising the West: The West belongs in the right side of history,1
dev,EN,URW: Speculating war outcomes: Ukrainian army is collapsing,1
dev,HI,CC: Amplifying Climate Fears: Amplifying existing fears of global warming,4
dev,HI,URW: Praise of Russia: Russia has international support from a number of countries and people,3
dev,HI,URW: Amplifying war-related fears: By continuing the war we risk WWIII,2
dev,HI,URW: Amplifying war-related fears: NATO should/will directly intervene,1
dev,HI,URW: Amplifying war-related fears: Russia will also attack other countries,1
dev,HI,URW: Amplifying war-related fears: There is a real possibility that nuclear weapons will be employed,1
dev,HI,URW: Blaming the war on others rather than the invader: The West are the aggressors,1
dev,HI,URW: Blaming the war on others rather than the invader: Ukraine is the aggressor,1
dev,HI,"URW: Discrediting the West, Diplomacy: The West does not care about Ukraine, only about its interests",1
dev,HI,URW: Distrust towards Media: Western media is an instrument of propaganda,1
dev,HI,URW: Praise of Russia: Praise of Russian military might,1
dev,HI,URW: Praise of Russia: Russia is a guarantor of peace and prosperity,1
dev,HI,URW: Speculating war outcomes: Russian army will lose all the occupied territories,1
dev,PT,CC: Amplifying Climate Fears: Amplifying existing fears of global warming,9
dev,PT,CC: Criticism of institutions and authorities: Criticism of international entities,1
dev,PT,CC: Criticism of institutions and authorities: Criticism of national governments,1
dev,PT,CC: Criticism of institutions and authorities: Criticism of political organizations and figures,1
dev,PT,CC: Criticism of institutions and authorities: Criticism of the EU,1
dev,PT,URW: Discrediting Ukraine: Discrediting Ukrainian government and officials and policies,1
dev,PT,URW: Praise of Russia: Russia has international support from a number of countries and people,1
dev,PT,URW: Praise of Russia: Russia is a guarantor of peace and prosperity,1
dev,PT,URW: Russia is the Victim: The West is russophobic,1
dev,RU,URW: Discrediting Ukraine: Discrediting Ukrainian government and officials and policies,3
dev,RU,URW: Discrediting Ukraine: Discrediting Ukrainian military,3
dev,RU,URW: Praise of Russia: Russia has international support from a number of countries and people,3
dev,RU,URW: Discrediting Ukraine: Ukraine is a hub for criminal activities,2
dev,RU,URW: Discrediting Ukraine: Ukraine is a puppet of the West,2
dev,RU,URW: Praise of Russia: Praise of Russian military might,2
dev,RU,URW: Praise of Russia: Russia is a guarantor of peace and prosperity,2
dev,RU,URW: Amplifying war-related fears: NATO should/will directly intervene,1
dev,RU,URW: Discrediting Ukraine: Ukraine is associated with nazism,1
dev,RU,"URW: Discrediting the West, Diplomacy: The West does not care about Ukraine, only about its interests",1
dev,RU,"URW: Discrediting the West, Diplomacy: The West is overreacting",1
dev,RU,"URW: Discrediting the West, Diplomacy: West is tired of Ukraine",1
