A9_BG_2707.txt	URW: Speculating war outcomes;URW: Negative Consequences for the West;URW: Overpraising the West	URW: Speculating war outcomes: Other;URW: Negative Consequences for the West: Other
A9_BG_2820.txt	Other	Other
A9_BG_2663.txt	URW: Blaming the war on others rather than the invader;URW: Amplifying war-related fears;URW: Russia is the Victim	URW: Blaming the war on others rather than the invader: The West are the aggressors;URW: Amplifying war-related fears: There is a real possibility that nuclear weapons will be employed;URW: Amplifying war-related fears: NATO should/will directly intervene;URW: Russia is the Victim: Russia actions in Ukraine are only self-defence;URW: Russia is the Victim: Other
A9_BG_2961.txt	Other	Other
A9_BG_3819.txt	Other	Other
A9_BG_2756.txt	URW: Blaming the war on others rather than the invader;URW: Discrediting Ukraine;URW: Discrediting the West, Diplomacy;URW: Distrust towards Media	URW: Blaming the war on others rather than the invader: Ukraine is the aggressor;URW: Blaming the war on others rather than the invader: Ukraine is the aggressor;URW: Discrediting Ukraine: Discrediting Ukrainian government and officials and policies;URW: Discrediting Ukraine: Ukraine is a puppet of the West;URW: Discrediting the West, Diplomacy: Other;URW: Distrust towards Media: Ukrainian media cannot be trusted;URW: Distrust towards Media: Western media is an instrument of propaganda
A9_BG_2592.txt	URW: Discrediting Ukraine;URW: Discrediting Ukraine;URW: Discrediting Ukraine	URW: Discrediting Ukraine: Discrediting Ukrainian government and officials and policies;URW: Discrediting Ukraine: Discrediting Ukrainian nation and society;URW: Discrediting Ukraine: Discrediting Ukrainian military;URW: Discrediting Ukraine: Ukraine is associated with nazism;URW: Discrediting Ukraine: Situation in Ukraine is hopeless;URW: Discrediting Ukraine: Discrediting Ukrainian government and officials and policies;URW: Discrediting Ukraine: Discrediting Ukrainian military;URW: Discrediting Ukraine: Ukraine is associated with nazism;URW: Discrediting Ukraine: Discrediting Ukrainian nation and society;URW: Discrediting Ukraine: Other;URW: Discrediting Ukraine: Discrediting Ukrainian government and officials and policies;URW: Discrediting Ukraine: Discrediting Ukrainian military;URW: Discrediting Ukraine: Ukraine is associated with nazism;URW: Discrediting Ukraine: Ukraine is a hub for criminal activities;URW: Discrediting Ukraine: Discrediting Ukrainian nation and society
A9_BG_2569.txt	URW: Discrediting Ukraine;URW: Discrediting the West, Diplomacy;URW: Blaming the war on others rather than the invader;URW: Russia is the Victim;URW: Praise of Russia	URW: Discrediting Ukraine: Ukraine is associated with nazism;URW: Discrediting Ukraine: Ukraine is a puppet of the West;URW: Discrediting Ukraine: Discrediting Ukrainian government and officials and policies;URW: Discrediting Ukraine: Other;URW: Discrediting the West, Diplomacy: The West does not care about Ukraine, only about its interests;URW: Discrediting the West, Diplomacy: Other;URW: Blaming the war on others rather than the invader: The West are the aggressors;URW: Blaming the war on others rather than the invader: Other;URW: Russia is the Victim: The West is russophobic;URW: Russia is the Victim: UA is anti-RU extremists;URW: Russia is the Victim: Russia actions in Ukraine are only self-defence;URW: Praise of Russia: Russia is a guarantor of peace and prosperity;URW: Praise of Russia: Other
A9_BG_3921.txt	URW: Hidden plots by secret schemes of powerful groups;URW: Discrediting the West, Diplomacy;URW: Russia is the Victim	URW: Hidden plots by secret schemes of powerful groups: Other;URW: Discrediting the West, Diplomacy: The West does not care about Ukraine, only about its interests;URW: Discrediting the West, Diplomacy: Other;URW: Russia is the Victim: The West is russophobic;URW: Russia is the Victim: Other
A9_BG_2828.txt	URW: Discrediting the West, Diplomacy;URW: Blaming the war on others rather than the invader;URW: Discrediting Ukraine;URW: Praise of Russia	URW: Discrediting the West, Diplomacy: Diplomacy does/will not work;URW: Discrediting the West, Diplomacy: Other;URW: Blaming the war on others rather than the invader: The West are the aggressors;URW: Blaming the war on others rather than the invader: Other;URW: Discrediting Ukraine: Discrediting Ukrainian government and officials and policies;URW: Discrediting Ukraine: Ukraine is associated with nazism;URW: Praise of Russia: Russia is a guarantor of peace and prosperity
A9_BG_4026.txt	URW: Amplifying war-related fears;URW: Blaming the war on others rather than the invader	URW: Amplifying war-related fears: There is a real possibility that nuclear weapons will be employed
