HI_139.txt	Other	Other
HI_12.txt	Other	Other
HI_31.txt	Other	Other
HI_34.txt	Other	Other
HI_19.txt	Other	Other
HI_75.txt	Other	Other
HI_134.txt	Other	Other
HI_140.txt	Other	Other
HI_143.txt	CC: Amplifying Climate Fears	CC: Amplifying Climate Fears: Amplifying existing fears of global warming;CC: Amplifying Climate Fears: Doomsday scenarios for humans
HI_17.txt	URW: Discrediting the West, Diplomacy	URW: Discrediting the West, Diplomacy: The EU is divided;URW: Discrediting the West, Diplomacy: Diplomacy does/will not work;URW: Discrediting the West, Diplomacy: Other
HI_35.txt	URW: Discrediting the West, Diplomacy;URW: Distrust towards Media	URW: Distrust towards Media: Other
HI_11.txt	URW: Amplifying war-related fears;URW: Speculating war outcomes;URW: Speculating war outcomes;URW: Speculating war outcomes	URW: Amplifying war-related fears: Russia will also attack other countries;URW: Amplifying war-related fears: NATO should/will directly intervene;URW: Amplifying war-related fears: Other;URW: Speculating war outcomes: Other;URW: Speculating war outcomes: Other;URW: Speculating war outcomes: Other
HI_28.txt	URW: Discrediting the West, Diplomacy;URW: Discrediting Ukraine	URW: Discrediting the West, Diplomacy: The West does not care about Ukraine, only about its interests;URW: Discrediting the West, Diplomacy: Other;URW: Discrediting Ukraine: Ukraine is a puppet of the West;URW: Discrediting Ukraine: Other
HI_51.txt	URW: Blaming the war on others rather than the invader;URW: Discrediting the West, Diplomacy;URW: Speculating war outcomes	URW: Discrediting the West, Diplomacy: The West does not care about Ukraine, only about its interests;URW: Discrediting the West, Diplomacy: Other;URW: Speculating war outcomes: Russian army will lose all the occupied territories;URW: Speculating war outcomes: Other
HI_114.txt	URW: Amplifying war-related fears;URW: Blaming the war on others rather than the invader;URW: Discrediting the West, Diplomacy	URW: Blaming the war on others rather than the invader: The West are the aggressors;URW: Blaming the war on others rather than the invader: Other;URW: Discrediting the West, Diplomacy: The West is overreacting;URW: Discrediting the West, Diplomacy: Other
