EN_CC_200054.txt	Other	Other
EN_UA_DEV_100019.txt	Other	Other
EN_CC_200030.txt	Other	Other
EN_CC_200040.txt	Other	Other
EN_CC_200060.txt	CC: Criticism of institutions and authorities	CC: Criticism of institutions and authorities: Other
EN_UA_DEV_100029.txt	URW: Speculating war outcomes	Other
EN_UA_DEV_100036.txt	URW: Amplifying war-related fears	Other
EN_CC_200065.txt	CC: Questioning the measurements and science;CC: Criticism of climate movement	Other
EN_UA_DEV_100012.txt	URW: Discrediting Ukraine	URW: Discrediting Ukraine: Ukraine is a puppet of the West;URW: Discrediting Ukraine: Discrediting Ukrainian government and officials and policies;URW: Discrediting Ukraine: Ukraine is associated with nazism
EN_CC_200081.txt	CC: Criticism of climate policies;CC: Criticism of institutions and authorities;CC: Controversy about green technologies;CC: Green policies are geopolitical instruments	CC: Criticism of climate policies: Climate policies are ineffective;CC: Criticism of climate policies: Climate policies have negative impact on the economy;CC: Criticism of institutions and authorities: Criticism of national governments;CC: Criticism of institutions and authorities: Criticism of political organizations and figures;CC: Controversy about green technologies: Renewable energy is dangerous;CC: Controversy about green technologies: Renewable energy is costly;CC: Controversy about green technologies: Other;CC: Green policies are geopolitical instruments: Climate-related international relations are abusive/exploitative
EN_CC_200085.txt	CC: Criticism of climate policies;CC: Criticism of institutions and authorities;CC: Controversy about green technologies	Other
EN_CC_200079.txt	CC: Criticism of institutions and authorities;CC: Criticism of climate policies;CC: Hidden plots by secret schemes of powerful groups	Other
EN_CC_200078.txt	CC: Criticism of institutions and authorities;CC: Criticism of climate policies	Other
EN_CC_200069.txt	CC: Downplaying climate change;CC: Criticism of climate policies	CC: Criticism of climate policies: Other;CC: Criticism of climate policies: Other;CC: Criticism of climate policies: Other;CC: Criticism of climate policies: Other
EN_CC_200049.txt	CC: Downplaying climate change;CC: Questioning the measurements and science;CC: Climate change is beneficial;CC: Criticism of climate movement	Other
EN_CC_200064.txt	CC: Criticism of climate movement;CC: Criticism of climate movement;CC: Amplifying Climate Fears	CC: Criticism of climate movement: Other;CC: Criticism of climate movement: Other
EN_CC_200070.txt	CC: Criticism of climate policies;CC: Criticism of institutions and authorities;CC: Criticism of climate movement	Other
EN_CC_200050.txt	CC: Criticism of climate movement;CC: Criticism of climate policies	Other
EN_CC_200033.txt	CC: Criticism of climate policies;CC: Criticism of institutions and authorities;CC: Criticism of climate movement	Other
EN_UA_DEV_100034.txt	URW: Overpraising the West;URW: Speculating war outcomes;URW: Amplifying war-related fears	URW: Speculating war outcomes: Other
EN_CC_200053.txt	CC: Amplifying Climate Fears;CC: Criticism of climate policies;CC: Criticism of climate policies	Other
EN_UA_DEV_100026.txt	CC: Criticism of climate policies;CC: Criticism of institutions and authorities;CC: Downplaying climate change;CC: Criticism of climate movement	Other
EN_CC_200063.txt	CC: Criticism of climate policies;CC: Criticism of institutions and authorities;CC: Criticism of climate movement	CC: Criticism of climate policies: Climate policies have negative impact on the economy;CC: Criticism of climate policies: Other;CC: Criticism of institutions and authorities: Criticism of national governments;CC: Criticism of climate movement: Other;CC: Criticism of climate movement: Other
EN_UA_DEV_214.txt	URW: Discrediting the West, Diplomacy;URW: Blaming the war on others rather than the invader;URW: Distrust towards Media;URW: Discrediting Ukraine;URW: Negative Consequences for the West;URW: Amplifying war-related fears;URW: Speculating war outcomes	Other
