EN_CC_200030.txt	Other	Other
EN_CC_200035.txt	CC: Controversy about green technologies	CC: Controversy about green technologies: Other
EN_CC_200033.txt	CC: Criticism of climate policies;CC: Criticism of climate movement;CC: Amplifying Climate Fears;CC: Criticism of institutions and authorities	CC: Criticism of climate policies: Other;CC: Criticism of climate movement: Climate movement is alarmist;CC: Criticism of climate movement: Climate movement is corrupt;CC: Criticism of climate movement: Other;CC: Criticism of climate movement: Other;CC: Amplifying Climate Fears: Amplifying existing fears of global warming;CC: Criticism of institutions and authorities: Criticism of national governments;CC: Criticism of institutions and authorities: Criticism of international entities;CC: Criticism of institutions and authorities: Criticism of political organizations and figures;CC: Criticism of institutions and authorities: Other;CC: Criticism of institutions and authorities: Other
EN_CC_200040.txt	CC: Criticism of climate movement;CC: Downplaying climate change	CC: Criticism of climate movement: Climate movement is alarmist;CC: Criticism of climate movement: Other
EN_CC_200034.txt	CC: Downplaying climate change;CC: Questioning the measurements and science;CC: Criticism of climate policies;CC: Criticism of institutions and authorities;CC: Controversy about green technologies;CC: Amplifying Climate Fears;CC: Criticism of climate movement	CC: Downplaying climate change: Human activities do not impact climate change;CC: Downplaying climate change: CO2 concentrations are too small to have an impact;CC: Downplaying climate change: Other;CC: Questioning the measurements and science: Greenhouse effect/carbon dioxide do not drive climate change;CC: Questioning the measurements and science: Scientific community is unreliable;CC: Criticism of climate policies: Climate policies have negative impact on the economy;CC: Criticism of climate policies: Climate policies are ineffective;CC: Criticism of climate policies: Other;CC: Criticism of institutions and authorities: Criticism of international entities;CC: Criticism of institutions and authorities: Criticism of political organizations and figures;CC: Criticism of institutions and authorities: Other;CC: Controversy about green technologies: Renewable energy is unreliable;CC: Controversy about green technologies: Other;CC: Amplifying Climate Fears: Doomsday scenarios for humans;CC: Amplifying Climate Fears: Amplifying existing fears of global warming;CC: Amplifying Climate Fears: Other;CC: Criticism of climate movement: Climate movement is alarmist;CC: Criticism of climate movement: Ad hominem attacks on key activists
EN_CC_200036.txt	CC: Amplifying Climate Fears;CC: Criticism of climate policies;CC: Controversy about green technologies;CC: Criticism of institutions and authorities;CC: Criticism of climate movement;CC: Questioning the measurements and science;CC: Downplaying climate change	CC: Amplifying Climate Fears: Doomsday scenarios for humans;CC: Amplifying Climate Fears: Amplifying existing fears of global warming;CC: Amplifying Climate Fears: Other;CC: Criticism of climate policies: Climate policies have negative impact on the economy;CC: Criticism of climate policies: Other;CC: Controversy about green technologies: Other;CC: Criticism of institutions and authorities: Criticism of political organizations and figures;CC: Criticism of institutions and authorities: Criticism of national governments;CC: Criticism of institutions and authorities: Other;CC: Criticism of institutions and authorities: Other;CC: Criticism of climate movement: Climate movement is alarmist;CC: Criticism of climate movement: Ad hominem attacks on key activists;CC: Criticism of climate movement: Other;CC: Questioning the measurements and science: Scientific community is unreliable;CC: Questioning the measurements and science: Other;CC: Downplaying climate change: Other
EN_CC_200046.txt	CC: Climate change is beneficial;CC: Criticism of climate policies;CC: Criticism of institutions and authorities;CC: Amplifying Climate Fears	CC: Climate change is beneficial: CO2 is beneficial;CC: Criticism of climate policies: Other;CC: Criticism of institutions and authorities: Criticism of political organizations and figures;CC: Criticism of institutions and authorities: Other;CC: Amplifying Climate Fears: Amplifying existing fears of global warming;CC: Amplifying Climate Fears: Doomsday scenarios for humans;CC: Amplifying Climate Fears: Other;CC: Amplifying Climate Fears: Other;CC: Amplifying Climate Fears: Other
EN_CC_200050.txt	Other	Other
EN_CC_200053.txt	Other	Other
EN_CC_200047.txt	CC: Criticism of climate policies;CC: Amplifying Climate Fears;CC: Criticism of institutions and authorities	CC: Criticism of climate policies: Other;CC: Amplifying Climate Fears: Amplifying existing fears of global warming;CC: Criticism of institutions and authorities: Criticism of international entities;CC: Criticism of institutions and authorities: Other
EN_CC_200060.txt	CC: Criticism of institutions and authorities	CC: Criticism of institutions and authorities: Other
