EN_CC_200030.txt	Other	Other
EN_CC_200035.txt	CC: Criticism of climate policies;CC: Controversy about green technologies;CC: Green policies are geopolitical instruments	CC: Criticism of climate policies: Climate policies have negative impact on the economy;CC: Criticism of climate policies: Climate policies are only for profit;CC: Criticism of climate policies: Other;CC: Controversy about green technologies: Renewable energy is costly;CC: Controversy about green technologies: Other;CC: Green policies are geopolitical instruments: Green activities are a form of neo-colonialism;CC: Green policies are geopolitical instruments: Other
EN_CC_200033.txt	CC: Criticism of climate movement;CC: Criticism of climate policies;CC: Green policies are geopolitical instruments;CC: Hidden plots by secret schemes of powerful groups	CC: Criticism of climate movement: Climate movement is alarmist;CC: Criticism of climate movement: Ad hominem attacks on key activists;CC: Criticism of climate movement: Climate movement is corrupt;CC: Criticism of climate movement: Other;CC: Criticism of climate policies: Climate policies are only for profit;CC: Criticism of climate policies: Other;CC: Green policies are geopolitical instruments: Green activities are a form of neo-colonialism;CC: Green policies are geopolitical instruments: Other;CC: Hidden plots by secret schemes of powerful groups: Climate agenda has hidden motives;CC: Hidden plots by secret schemes of powerful groups: Other
EN_CC_200034.txt	CC: Criticism of climate policies;CC: Criticism of climate movement;CC: Downplaying climate change;CC: Questioning the measurements and science;CC: Amplifying Climate Fears	CC: Criticism of climate policies: Climate policies are ineffective;CC: Criticism of climate policies: Climate policies have negative impact on the economy;CC: Criticism of climate policies: Other;CC: Criticism of climate movement: Climate movement is alarmist;CC: Criticism of climate movement: Climate movement is corrupt;CC: Criticism of climate movement: Other;CC: Downplaying climate change: Human activities do not impact climate change;CC: Downplaying climate change: Other;CC: Questioning the measurements and science: Greenhouse effect/carbon dioxide do not drive climate change;CC: Questioning the measurements and science: Scientific community is unreliable;CC: Questioning the measurements and science: Other;CC: Amplifying Climate Fears: Doomsday scenarios for humans;CC: Amplifying Climate Fears: Amplifying existing fears of global warming;CC: Amplifying Climate Fears: Other
EN_CC_200040.txt	CC: Criticism of climate movement;CC: Criticism of climate movement;CC: Downplaying climate change;CC: Downplaying climate change;CC: Criticism of institutions and authorities;CC: Questioning the measurements and science	CC: Criticism of climate movement: Climate movement is alarmist;CC: Criticism of climate movement: Ad hominem attacks on key activists;CC: Criticism of climate movement: Other;CC: Criticism of climate movement: Climate movement is alarmist;CC: Criticism of climate movement: Ad hominem attacks on key activists;CC: Criticism of climate movement: Other;CC: Downplaying climate change: Human activities do not impact climate change;CC: Downplaying climate change: Other;CC: Downplaying climate change: Human activities do not impact climate change;CC: Downplaying climate change: Other;CC: Criticism of institutions and authorities: Criticism of national governments;CC: Criticism of institutions and authorities: Other;CC: Questioning the measurements and science: Data shows no temperature increase;CC: Questioning the measurements and science: Other
EN_CC_200036.txt	CC: Criticism of climate movement;CC: Amplifying Climate Fears;CC: Criticism of climate policies;CC: Controversy about green technologies;CC: Downplaying climate change;CC: Questioning the measurements and science;CC: Green policies are geopolitical instruments	CC: Criticism of climate movement: Climate movement is alarmist;CC: Criticism of climate movement: Ad hominem attacks on key activists;CC: Criticism of climate movement: Other;CC: Amplifying Climate Fears: Doomsday scenarios for humans;CC: Amplifying Climate Fears: Amplifying existing fears of global warming;CC: Amplifying Climate Fears: Other;CC: Criticism of climate policies: Climate policies are only for profit;CC: Criticism of climate policies: Climate policies are ineffective;CC: Criticism of climate policies: Other;CC: Controversy about green technologies: Renewable energy is costly;CC: Controversy about green technologies: Renewable energy is unreliable;CC: Controversy about green technologies: Other;CC: Downplaying climate change: Other;CC: Questioning the measurements and science: Scientific community is unreliable;CC: Questioning the measurements and science: Other;CC: Green policies are geopolitical instruments: Climate-related international relations are abusive/exploitative;CC: Green policies are geopolitical instruments: Green activities are a form of neo-colonialism;CC: Green policies are geopolitical instruments: Other
EN_CC_200046.txt	CC: Climate change is beneficial;CC: Criticism of climate policies;CC: Criticism of institutions and authorities;CC: Criticism of climate movement	CC: Climate change is beneficial: CO2 is beneficial;CC: Climate change is beneficial: Other;CC: Criticism of climate policies: Climate policies are ineffective;CC: Criticism of climate policies: Climate policies are only for profit;CC: Criticism of climate policies: Other;CC: Criticism of institutions and authorities: Criticism of political organizations and figures;CC: Criticism of institutions and authorities: Criticism of political organizations and figures;CC: Criticism of institutions and authorities: Other;CC: Criticism of climate movement: Climate movement is alarmist;CC: Criticism of climate movement: Climate movement is corrupt;CC: Criticism of climate movement: Other
EN_CC_200054.txt	Other	Other
EN_CC_200060.txt	Other	Other
EN_CC_200063.txt	Other	Other
EN_CC_200047.txt	CC: Criticism of climate policies;CC: Criticism of institutions and authorities;CC: Hidden plots by secret schemes of powerful groups;CC: Green policies are geopolitical instruments	CC: Criticism of climate policies: Climate policies are ineffective;CC: Criticism of climate policies: Climate policies have negative impact on the economy;CC: Criticism of climate policies: Climate policies are only for profit;CC: Criticism of climate policies: Other;CC: Criticism of institutions and authorities: Criticism of international entities;CC: Criticism of institutions and authorities: Criticism of political organizations and figures;CC: Criticism of institutions and authorities: Other;CC: Hidden plots by secret schemes of powerful groups: Blaming global elites;CC: Hidden plots by secret schemes of powerful groups: Climate agenda has hidden motives;CC: Hidden plots by secret schemes of powerful groups: Other;CC: Green policies are geopolitical instruments: Climate-related international relations are abusive/exploitative;CC: Green policies are geopolitical instruments: Other
