BG_1856.txt	CC: Amplifying Climate Fears	CC: Amplifying Climate Fears: Amplifying existing fears of global warming
A9_BG_2828.txt	URW: Amplifying war-related fears;URW: Discrediting Ukraine;URW: Discrediting the West, Diplomacy;URW: Praise of Russia;URW: Russia is the Victim	URW: Discrediting Ukraine: Discrediting Ukrainian government and officials and policies;URW: Discrediting Ukraine: Ukraine is a puppet of the West;URW: Discrediting the West, Diplomacy: Other;URW: Discrediting the West, Diplomacy: The West does not care about Ukraine, only about its interests
BG_73.txt	CC: Amplifying Climate Fears	CC: Amplifying Climate Fears: Amplifying existing fears of global warming
BG_277.txt	URW: Blaming the war on others rather than the invader	URW: Blaming the war on others rather than the invader: The West are the aggressors
A9_BG_4039.txt	URW: Amplifying war-related fears;URW: Blaming the war on others rather than the invader;URW: Praise of Russia;URW: Speculating war outcomes	URW: Amplifying war-related fears: There is a real possibility that nuclear weapons will be employed;URW: Blaming the war on others rather than the invader: The West are the aggressors;URW: Blaming the war on others rather than the invader: Ukraine is the aggressor;URW: Praise of Russia: Praise of Russian military might;URW: Speculating war outcomes: Other
BG_950.txt	CC: Amplifying Climate Fears;CC: Criticism of climate movement;CC: Criticism of institutions and authorities	CC: Amplifying Climate Fears: Amplifying existing fears of global warming;CC: Criticism of climate movement: Other;CC: Criticism of institutions and authorities: Criticism of national governments
A9_BG_3921.txt	URW: Discrediting Ukraine;URW: Discrediting the West, Diplomacy	URW: Discrediting Ukraine: Discrediting Ukrainian government and officials and policies;URW: Discrediting the West, Diplomacy: Other
BG_125.txt	CC: Amplifying Climate Fears;CC: Downplaying climate change	CC: Amplifying Climate Fears: Amplifying existing fears of global warming
A9_BG_4076.txt	URW: Amplifying war-related fears;URW: Discrediting the West, Diplomacy;URW: Praise of Russia	URW: Amplifying war-related fears: By continuing the war we risk WWIII;URW: Amplifying war-related fears: There is a real possibility that nuclear weapons will be employed;URW: Discrediting the West, Diplomacy: Other;URW: Praise of Russia: Russia has international support from a number of countries and people
BG_1178.txt	CC: Amplifying Climate Fears;CC: Criticism of institutions and authorities	CC: Amplifying Climate Fears: Amplifying existing fears of global warming;CC: Criticism of institutions and authorities: Criticism of national governments
A9_BG_2707.txt	URW: Amplifying war-related fears;URW: Discrediting Ukraine;URW: Discrediting the West, Diplomacy;URW: Negative Consequences for the West;URW: Overpraising the West;URW: Speculating war outcomes	URW: Discrediting Ukraine: Situation in Ukraine is hopeless;URW: Discrediting the West, Diplomacy: Other;URW: Negative Consequences for the West: Other;URW: Speculating war outcomes: Other
BG_245.txt	CC: Amplifying Climate Fears;CC: Controversy about green technologies;CC: Criticism of institutions and authorities;CC: Hidden plots by secret schemes of powerful groups	CC: Amplifying Climate Fears: Amplifying existing fears of global warming;CC: Controversy about green technologies: Other;CC: Criticism of institutions and authorities: Criticism of national governments;CC: Criticism of institutions and authorities: Criticism of political organizations and figures;CC: Hidden plots by secret schemes of powerful groups: Blaming global elites
BG_212.txt	CC: Amplifying Climate Fears	CC: Amplifying Climate Fears: Amplifying existing fears of global warming;CC: Amplifying Climate Fears: Doomsday scenarios for humans;CC: Amplifying Climate Fears: Earth will be uninhabitable soon
A9_BG_8427.txt	CC: Criticism of climate policies;CC: Criticism of institutions and authorities;URW: Discrediting Ukraine;URW: Discrediting the West, Diplomacy;URW: Distrust towards Media;URW: Hidden plots by secret schemes of powerful groups	CC: Criticism of climate policies: Climate policies are ineffective;URW: Discrediting Ukraine: Discrediting Ukrainian government and officials and policies;URW: Discrediting the West, Diplomacy: Other;URW: Distrust towards Media: Western media is an instrument of propaganda;URW: Hidden plots by secret schemes of powerful groups: Other
BG_1455.txt	URW: Overpraising the West	URW: Overpraising the West: The West belongs in the right side of history;URW: Overpraising the West: The West has the strongest international support
BG_1169.txt	CC: Amplifying Climate Fears;CC: Criticism of climate policies	CC: Amplifying Climate Fears: Amplifying existing fears of global warming;CC: Amplifying Climate Fears: Doomsday scenarios for humans;CC: Amplifying Climate Fears: Other;CC: Criticism of climate policies: Climate policies are ineffective
A9_BG_2756.txt	URW: Praise of Russia	URW: Praise of Russia: Praise of Russian military might
BG_1091.txt	Other	Other
A9_BG_4093.txt	CC: Criticism of institutions and authorities;URW: Discrediting Ukraine;URW: Discrediting the West, Diplomacy;URW: Praise of Russia	CC: Criticism of institutions and authorities: Criticism of political organizations and figures;URW: Discrediting Ukraine: Discrediting Ukrainian government and officials and policies;URW: Discrediting the West, Diplomacy: Other
BG_979.txt	CC: Amplifying Climate Fears;CC: Criticism of climate policies;CC: Criticism of institutions and authorities;CC: Questioning the measurements and science;URW: Hidden plots by secret schemes of powerful groups	CC: Amplifying Climate Fears: Amplifying existing fears of global warming;CC: Criticism of climate policies: Climate policies are ineffective;CC: Criticism of climate policies: Climate policies have negative impact on the economy;CC: Criticism of institutions and authorities: Criticism of national governments;CC: Questioning the measurements and science: Methodologies/metrics used are unreliable/faulty;CC: Questioning the measurements and science: Other;CC: Questioning the measurements and science: Scientific community is unreliable;URW: Hidden plots by secret schemes of powerful groups: Other
A9_BG_4026.txt	URW: Amplifying war-related fears	
BG_909.txt	CC: Amplifying Climate Fears;CC: Criticism of institutions and authorities	CC: Amplifying Climate Fears: Other;CC: Criticism of institutions and authorities: Criticism of national governments
BG_1378.txt	CC: Amplifying Climate Fears	CC: Amplifying Climate Fears: Amplifying existing fears of global warming
A9_BG_2663.txt	URW: Discrediting Ukraine;URW: Russia is the Victim;URW: Speculating war outcomes	URW: Discrediting Ukraine: Discrediting Ukrainian military;URW: Speculating war outcomes: Other;URW: Speculating war outcomes: Ukrainian army is collapsing
BG_1146.txt	CC: Amplifying Climate Fears	CC: Amplifying Climate Fears: Amplifying existing fears of global warming
A9_BG_3970.txt	URW: Amplifying war-related fears;URW: Discrediting Ukraine;URW: Discrediting the West, Diplomacy;URW: Russia is the Victim	URW: Amplifying war-related fears: By continuing the war we risk WWIII;URW: Russia is the Victim: The West is russophobic
BG_63.txt	CC: Amplifying Climate Fears;URW: Speculating war outcomes	CC: Amplifying Climate Fears: Amplifying existing fears of global warming;URW: Speculating war outcomes: Other
A9_BG_4110.txt	URW: Praise of Russia;URW: Russia is the Victim	URW: Russia is the Victim: The West is russophobic
A9_BG_3964.txt	URW: Discrediting Ukraine;URW: Russia is the Victim;URW: Speculating war outcomes	URW: Discrediting Ukraine: Discrediting Ukrainian government and officials and policies;URW: Discrediting Ukraine: Discrediting Ukrainian military;URW: Speculating war outcomes: Other
A9_BG_2592.txt	CC: Climate change is beneficial;URW: Blaming the war on others rather than the invader	
