CC_TEST_00056.txt	Other	Other
RU_TEST_00007.txt	Other	Other
CC_TEST_00047.txt	Other	Other
RU_TEST_00086.txt	URW: Speculating war outcomes	URW: Speculating war outcomes: Russian army is collapsing
RU_TEST_00041.txt	URW: Speculating war outcomes;URW: Amplifying war-related fears	URW: Speculating war outcomes: Other;URW: Amplifying war-related fears: Other
RU_TEST_00037.txt	URW: Discrediting the West, Diplomacy;URW: Negative Consequences for the West	URW: Discrediting the West, Diplomacy: The West is weak;URW: Discrediting the West, Diplomacy: The EU is divided;URW: Discrediting the West, Diplomacy: Other;URW: Negative Consequences for the West: Other
RU_TEST_00090.txt	URW: Discrediting Ukraine;URW: Discrediting the West, Diplomacy	URW: Discrediting Ukraine: Discrediting Ukrainian military;URW: Discrediting Ukraine: Discrediting Ukrainian government and officials and policies;URW: Discrediting Ukraine: Other;URW: Discrediting the West, Diplomacy: Other
RU_TEST_00092.txt	URW: Blaming the war on others rather than the invader;URW: Discrediting the West, Diplomacy;URW: Negative Consequences for the West	URW: Blaming the war on others rather than the invader: The West are the aggressors;URW: Discrediting the West, Diplomacy: The EU is divided;URW: Discrediting the West, Diplomacy: The West is weak;URW: Discrediting the West, Diplomacy: The West is overreacting;URW: Discrediting the West, Diplomacy: Other;URW: Negative Consequences for the West: Sanctions imposed by Western countries will backfire
RU_TEST_00082.txt	URW: Blaming the war on others rather than the invader;URW: Discrediting Ukraine;URW: Russia is the Victim;URW: Distrust towards Media	URW: Blaming the war on others rather than the invader: Ukraine is the aggressor;URW: Russia is the Victim: Other;URW: Distrust towards Media: Other
CC_TEST_00018.txt	CC: Criticism of climate policies;CC: Criticism of institutions and authorities;CC: Controversy about green technologies	CC: Criticism of climate policies: Climate policies are ineffective;CC: Criticism of institutions and authorities: Criticism of national governments;CC: Criticism of institutions and authorities: Criticism of political organizations and figures;CC: Controversy about green technologies: Nuclear energy is not climate friendly;CC: Controversy about green technologies: Other
RU_TEST_00068.txt	Other	Other
RU_TEST_00008.txt	URW: Hidden plots by secret schemes of powerful groups;URW: Discrediting the West, Diplomacy;URW: Negative Consequences for the West;URW: Amplifying war-related fears	URW: Hidden plots by secret schemes of powerful groups: Other;URW: Discrediting the West, Diplomacy: The West does not care about Ukraine, only about its interests;URW: Discrediting the West, Diplomacy: Other;URW: Negative Consequences for the West: Sanctions imposed by Western countries will backfire;URW: Negative Consequences for the West: Other
RU_TEST_00044.txt	URW: Speculating war outcomes;URW: Amplifying war-related fears	URW: Speculating war outcomes: Russian army is collapsing;URW: Speculating war outcomes: Other;URW: Amplifying war-related fears: Russia will also attack other countries;URW: Amplifying war-related fears: Other
CC_TEST_00088.txt	CC: Criticism of climate policies;CC: Criticism of climate movement;CC: Controversy about green technologies	CC: Criticism of climate policies: Climate policies are ineffective;CC: Criticism of climate policies: Climate policies have negative impact on the economy;CC: Criticism of climate policies: Other;CC: Criticism of climate movement: Ad hominem attacks on key activists;CC: Criticism of climate movement: Climate movement is corrupt;CC: Controversy about green technologies: Renewable energy is unreliable;CC: Controversy about green technologies: Renewable energy is costly;CC: Controversy about green technologies: Other
CC_TEST_00097.txt	Other	Other
CC_TEST_00025.txt	CC: Criticism of climate policies;CC: Criticism of institutions and authorities;CC: Downplaying climate change;CC: Questioning the measurements and science;CC: Criticism of climate movement;CC: Hidden plots by secret schemes of powerful groups	CC: Criticism of climate policies: Climate policies have negative impact on the economy;CC: Criticism of climate policies: Climate policies are only for profit;CC: Criticism of climate policies: Other;CC: Criticism of institutions and authorities: Criticism of national governments;CC: Criticism of institutions and authorities: Criticism of political organizations and figures;CC: Criticism of institutions and authorities: Other;CC: Downplaying climate change: Human activities do not impact climate change;CC: Downplaying climate change: Other;CC: Questioning the measurements and science: Greenhouse effect/carbon dioxide do not drive climate change;CC: Questioning the measurements and science: Other;CC: Criticism of climate movement: Climate movement is corrupt;CC: Criticism of climate movement: Climate movement is alarmist;CC: Hidden plots by secret schemes of powerful groups: Blaming global elites;CC: Hidden plots by secret schemes of powerful groups: Climate agenda has hidden motives
CC_TEST_00087.txt	Other	Other
