CC_TEST_00056.txt	Other	Other
CC_TEST_00047.txt	Other	Other
RU_TEST_00082.txt	Other	Other
RU_TEST_00007.txt	URW: Amplifying war-related fears	URW: Amplifying war-related fears: Other
RU_TEST_00041.txt	URW: Speculating war outcomes;URW: Amplifying war-related fears	URW: Speculating war outcomes: Other;URW: Amplifying war-related fears: Other
RU_TEST_00092.txt	URW: Negative Consequences for the West	URW: Negative Consequences for the West: Sanctions imposed by Western countries will backfire
RU_TEST_00086.txt	URW: Speculating war outcomes	URW: Speculating war outcomes: Russian army will lose all the occupied territories
RU_TEST_00015.txt	URW: Speculating war outcomes	URW: Speculating war outcomes: Russian army is collapsing
CC_TEST_00087.txt	Other	Other
RU_TEST_00008.txt	URW: Hidden plots by secret schemes of powerful groups;URW: Discrediting the West, Diplomacy;URW: Negative Consequences for the West	URW: Discrediting the West, Diplomacy: The West does not care about Ukraine, only about its interests;URW: Negative Consequences for the West: Sanctions imposed by Western countries will backfire
CC_TEST_00038.txt	CC: Controversy about green technologies;CC: Criticism of institutions and authorities;CC: Criticism of climate policies	CC: Controversy about green technologies: Renewable energy is dangerous;CC: Criticism of institutions and authorities: Criticism of political organizations and figures;CC: Criticism of climate policies: Other
CC_TEST_00018.txt	CC: Criticism of climate policies;CC: Criticism of institutions and authorities;CC: Controversy about green technologies	CC: Criticism of climate policies: Climate policies are ineffective;CC: Criticism of climate policies: Climate policies have negative impact on the economy;CC: Criticism of institutions and authorities: Criticism of national governments;CC: Criticism of institutions and authorities: Criticism of political organizations and figures;CC: Controversy about green technologies: Nuclear energy is not climate friendly
RU_TEST_00044.txt	URW: Speculating war outcomes;URW: Amplifying war-related fears	URW: Speculating war outcomes: Other;URW: Amplifying war-related fears: Other
RU_TEST_00068.txt	URW: Speculating war outcomes;URW: Discrediting the West, Diplomacy;URW: Amplifying war-related fears	URW: Speculating war outcomes: Ukrainian army is collapsing;URW: Discrediting the West, Diplomacy: Other;URW: Amplifying war-related fears: NATO should/will directly intervene
RU_TEST_00037.txt	URW: Amplifying war-related fears;URW: Speculating war outcomes;URW: Negative Consequences for the West;URW: Discrediting the West, Diplomacy	URW: Amplifying war-related fears: Other;URW: Speculating war outcomes: Other;URW: Negative Consequences for the West: Other;URW: Discrediting the West, Diplomacy: The West is weak
CC_TEST_00049.txt	CC: Criticism of climate movement;CC: Criticism of institutions and authorities	CC: Criticism of climate movement: Climate movement is corrupt;CC: Criticism of climate movement: Ad hominem attacks on key activists;CC: Criticism of institutions and authorities: Criticism of political organizations and figures
RU_TEST_00009.txt	URW: Discrediting Ukraine;URW: Speculating war outcomes;URW: Russia is the Victim;URW: Praise of Russia;URW: Discrediting the West, Diplomacy	URW: Discrediting Ukraine: Ukraine is associated with nazism;URW: Discrediting Ukraine: Discrediting Ukrainian government and officials and policies;URW: Discrediting Ukraine: Discrediting Ukrainian military;URW: Discrediting Ukraine: Situation in Ukraine is hopeless;URW: Speculating war outcomes: Ukrainian army is collapsing;URW: Russia is the Victim: UA is anti-RU extremists;URW: Praise of Russia: Russia is a guarantor of peace and prosperity;URW: Discrediting the West, Diplomacy: Diplomacy does/will not work
CC_TEST_00088.txt	CC: Controversy about green technologies;CC: Amplifying Climate Fears;CC: Criticism of climate movement;CC: Criticism of institutions and authorities	CC: Controversy about green technologies: Renewable energy is costly;CC: Amplifying Climate Fears: Other;CC: Criticism of climate movement: Climate movement is corrupt;CC: Criticism of institutions and authorities: Criticism of national governments;CC: Criticism of institutions and authorities: Criticism of political organizations and figures;CC: Criticism of institutions and authorities: Criticism of international entities
RU_TEST_00079.txt	Other	Other
CC_TEST_00025.txt	CC: Criticism of climate policies;CC: Criticism of institutions and authorities;CC: Questioning the measurements and science;CC: Criticism of climate movement;CC: Hidden plots by secret schemes of powerful groups;CC: Amplifying Climate Fears	CC: Criticism of climate policies: Climate policies have negative impact on the economy;CC: Criticism of climate policies: Climate policies are only for profit;CC: Criticism of institutions and authorities: Criticism of international entities;CC: Criticism of institutions and authorities: Criticism of national governments;CC: Criticism of institutions and authorities: Criticism of political organizations and figures;CC: Questioning the measurements and science: Scientific community is unreliable;CC: Criticism of climate movement: Climate movement is alarmist;CC: Criticism of climate movement: Climate movement is corrupt;CC: Hidden plots by secret schemes of powerful groups: Blaming global elites;CC: Hidden plots by secret schemes of powerful groups: Climate agenda has hidden motives;CC: Amplifying Climate Fears: Doomsday scenarios for humans;CC: Amplifying Climate Fears: Amplifying existing fears of global warming
CC_TEST_00046.txt	CC: Amplifying Climate Fears;CC: Hidden plots by secret schemes of powerful groups;CC: Controversy about green technologies;CC: Criticism of climate movement;CC: Criticism of institutions and authorities	CC: Amplifying Climate Fears: Amplifying existing fears of global warming;CC: Amplifying Climate Fears: Doomsday scenarios for humans;CC: Hidden plots by secret schemes of powerful groups: Climate agenda has hidden motives;CC: Controversy about green technologies: Other;CC: Criticism of climate movement: Climate movement is alarmist;CC: Criticism of climate movement: Climate movement is corrupt;CC: Criticism of climate movement: Ad hominem attacks on key activists;CC: Criticism of institutions and authorities: Criticism of national governments;CC: Criticism of institutions and authorities: Criticism of political organizations and figures
CC_TEST_00053.txt	CC: Hidden plots by secret schemes of powerful groups;CC: Green policies are geopolitical instruments;CC: Criticism of institutions and authorities;CC: Questioning the measurements and science;CC: Amplifying Climate Fears;CC: Climate change is beneficial;CC: Criticism of climate movement;CC: Downplaying climate change	CC: Hidden plots by secret schemes of powerful groups: Blaming global elites;CC: Hidden plots by secret schemes of powerful groups: Climate agenda has hidden motives;CC: Green policies are geopolitical instruments: Climate-related international relations are abusive/exploitative;CC: Criticism of institutions and authorities: Criticism of international entities;CC: Criticism of institutions and authorities: Criticism of political organizations and figures;CC: Questioning the measurements and science: Methodologies/metrics used are unreliable/faulty;CC: Amplifying Climate Fears: Amplifying existing fears of global warming;CC: Climate change is beneficial: Temperature increase is beneficial;CC: Criticism of climate movement: Climate movement is alarmist;CC: Criticism of climate movement: Climate movement is corrupt;CC: Criticism of climate movement: Ad hominem attacks on key activists;CC: Downplaying climate change: Climate cycles are natural
RU_TEST_00090.txt	URW: Discrediting Ukraine;URW: Distrust towards Media;URW: Discrediting the West, Diplomacy	URW: Discrediting Ukraine: Discrediting Ukrainian military;URW: Distrust towards Media: Other;URW: Discrediting the West, Diplomacy: The West does not care about Ukraine, only about its interests;URW: Discrediting the West, Diplomacy: Diplomacy does/will not work
CC_TEST_00097.txt	CC: Controversy about green technologies	CC: Controversy about green technologies: Other
