CC_TEST_00056.txt	Other	Other
RU_TEST_00082.txt	Other	Other
RU_TEST_00041.txt	Other	Other
RU_TEST_00007.txt	URW: Amplifying war-related fears	URW: Amplifying war-related fears: Other
RU_TEST_00037.txt	URW: Negative Consequences for the West	URW: Negative Consequences for the West: Other
RU_TEST_00086.txt	URW: Speculating war outcomes	Other
RU_TEST_00092.txt	URW: Negative Consequences for the West;URW: Discrediting the West, Diplomacy	URW: Negative Consequences for the West: Sanctions imposed by Western countries will backfire;URW: Discrediting the West, Diplomacy: The EU is divided
RU_TEST_00090.txt	URW: Discrediting Ukraine;URW: Discrediting the West, Diplomacy	URW: Discrediting Ukraine: Discrediting Ukrainian military;URW: Discrediting the West, Diplomacy: The West does not care about Ukraine, only about its interests
CC_TEST_00047.txt	CC: Criticism of institutions and authorities;CC: Green policies are geopolitical instruments	CC: Criticism of institutions and authorities: Criticism of international entities;CC: Criticism of institutions and authorities: Criticism of political organizations and figures;CC: Green policies are geopolitical instruments: Climate-related international relations are abusive/exploitative
CC_TEST_00025.txt	CC: Hidden plots by secret schemes of powerful groups;CC: Amplifying Climate Fears;CC: Criticism of institutions and authorities	CC: Hidden plots by secret schemes of powerful groups: Blaming global elites;CC: Hidden plots by secret schemes of powerful groups: Climate agenda has hidden motives;CC: Amplifying Climate Fears: Amplifying existing fears of global warming;CC: Amplifying Climate Fears: Doomsday scenarios for humans
CC_TEST_00046.txt	CC: Amplifying Climate Fears;CC: Hidden plots by secret schemes of powerful groups	CC: Amplifying Climate Fears: Amplifying existing fears of global warming;CC: Amplifying Climate Fears: Doomsday scenarios for humans;CC: Amplifying Climate Fears: Other;CC: Hidden plots by secret schemes of powerful groups: Climate agenda has hidden motives
RU_TEST_00008.txt	URW: Discrediting the West, Diplomacy;URW: Hidden plots by secret schemes of powerful groups;URW: Distrust towards Media;URW: Negative Consequences for the West	URW: Discrediting the West, Diplomacy: The West does not care about Ukraine, only about its interests;URW: Hidden plots by secret schemes of powerful groups: Other;URW: Negative Consequences for the West: Sanctions imposed by Western countries will backfire;URW: Negative Consequences for the West: Other
CC_TEST_00018.txt	CC: Criticism of institutions and authorities;CC: Controversy about green technologies;CC: Questioning the measurements and science;CC: Amplifying Climate Fears	CC: Criticism of institutions and authorities: Criticism of national governments;CC: Criticism of institutions and authorities: Criticism of political organizations and figures;CC: Controversy about green technologies: Nuclear energy is not climate friendly
CC_TEST_00088.txt	CC: Controversy about green technologies;CC: Criticism of climate movement;CC: Hidden plots by secret schemes of powerful groups	CC: Controversy about green technologies: Other;CC: Criticism of climate movement: Climate movement is corrupt;CC: Criticism of climate movement: Other;CC: Hidden plots by secret schemes of powerful groups: Climate agenda has hidden motives
CC_TEST_00038.txt	CC: Controversy about green technologies;CC: Criticism of institutions and authorities	CC: Controversy about green technologies: Other;CC: Criticism of institutions and authorities: Criticism of political organizations and figures
RU_TEST_00044.txt	URW: Amplifying war-related fears;URW: Speculating war outcomes	URW: Speculating war outcomes: Other
RU_TEST_00068.txt	URW: Speculating war outcomes;URW: Discrediting the West, Diplomacy	URW: Speculating war outcomes: Other
CC_TEST_00097.txt	CC: Controversy about green technologies	CC: Controversy about green technologies: Other
RU_TEST_00015.txt	URW: Speculating war outcomes	URW: Speculating war outcomes: Russian army is collapsing
EN_UA_DEV_25.txt	URW: Blaming the war on others rather than the invader;URW: Discrediting Ukraine;URW: Russia is the Victim;URW: Discrediting the West, Diplomacy;URW: Speculating war outcomes;URW: Distrust towards Media;URW: Hidden plots by secret schemes of powerful groups	URW: Blaming the war on others rather than the invader: The West are the aggressors;URW: Blaming the war on others rather than the invader: Ukraine is the aggressor;URW: Discrediting Ukraine: Ukraine is associated with nazism;URW: Discrediting Ukraine: Ukraine is a puppet of the West;URW: Discrediting Ukraine: Discrediting Ukrainian government and officials and policies;URW: Discrediting Ukraine: Discrediting Ukrainian military;URW: Russia is the Victim: Russia actions in Ukraine are only self-defence;URW: Russia is the Victim: UA is anti-RU extremists;URW: Discrediting the West, Diplomacy: The West does not care about Ukraine, only about its interests;URW: Discrediting the West, Diplomacy: The West is weak;URW: Distrust towards Media: Western media is an instrument of propaganda;URW: Hidden plots by secret schemes of powerful groups: Other
