CC_TEST_00056.txt	Other	Other
RU_TEST_00082.txt	URW: Distrust towards Media	URW: Distrust towards Media: Other
CC_TEST_00047.txt	Other	Other
RU_TEST_00086.txt	URW: Speculating war outcomes	Other
RU_TEST_00041.txt	URW: Speculating war outcomes;URW: Amplifying war-related fears	URW: Amplifying war-related fears: Other
RU_TEST_00037.txt	URW: Negative Consequences for the West;URW: Speculating war outcomes;URW: Amplifying war-related fears;URW: Distrust towards Media	URW: Negative Consequences for the West: Other;URW: Speculating war outcomes: Other;URW: Amplifying war-related fears: Other
RU_TEST_00008.txt	URW: Discrediting the West, Diplomacy;URW: Negative Consequences for the West;URW: Distrust towards Media;URW: Hidden plots by secret schemes of powerful groups;URW: Blaming the war on others rather than the invader	URW: Discrediting the West, Diplomacy: The West does not care about Ukraine, only about its interests;URW: Negative Consequences for the West: Sanctions imposed by Western countries will backfire;URW: Distrust towards Media: Western media is an instrument of propaganda;URW: Hidden plots by secret schemes of powerful groups: Other;URW: Blaming the war on others rather than the invader: The West are the aggressors
RU_TEST_00092.txt	URW: Negative Consequences for the West;URW: Discrediting the West, Diplomacy;URW: Blaming the war on others rather than the invader	URW: Negative Consequences for the West: Sanctions imposed by Western countries will backfire;URW: Negative Consequences for the West: Other;URW: Discrediting the West, Diplomacy: The EU is divided;URW: Discrediting the West, Diplomacy: Diplomacy does/will not work;URW: Discrediting the West, Diplomacy: The West is overreacting;URW: Discrediting the West, Diplomacy: Other
RU_TEST_00090.txt	URW: Discrediting Ukraine;URW: Distrust towards Media;URW: Discrediting the West, Diplomacy;URW: Negative Consequences for the West	URW: Discrediting Ukraine: Discrediting Ukrainian military;URW: Distrust towards Media: Other;URW: Discrediting the West, Diplomacy: The West does not care about Ukraine, only about its interests;URW: Discrediting the West, Diplomacy: Other;URW: Negative Consequences for the West: Other
CC_TEST_00025.txt	CC: Hidden plots by secret schemes of powerful groups;CC: Criticism of institutions and authorities;CC: Amplifying Climate Fears;CC: Criticism of climate movement;CC: Green policies are geopolitical instruments;CC: Criticism of climate policies	CC: Hidden plots by secret schemes of powerful groups: Climate agenda has hidden motives;CC: Criticism of institutions and authorities: Criticism of political organizations and figures;CC: Amplifying Climate Fears: Amplifying existing fears of global warming;CC: Amplifying Climate Fears: Doomsday scenarios for humans;CC: Amplifying Climate Fears: Other;CC: Criticism of climate movement: Climate movement is alarmist;CC: Criticism of climate movement: Climate movement is corrupt;CC: Green policies are geopolitical instruments: Other;CC: Criticism of climate policies: Climate policies are only for profit;CC: Criticism of climate policies: Climate policies have negative impact on the economy;CC: Criticism of climate policies: Other
EN_UA_DEV_25.txt	URW: Blaming the war on others rather than the invader;URW: Discrediting Ukraine;URW: Russia is the Victim;URW: Discrediting the West, Diplomacy;URW: Distrust towards Media;URW: Amplifying war-related fears;URW: Hidden plots by secret schemes of powerful groups;URW: Speculating war outcomes;URW: Praise of Russia	URW: Blaming the war on others rather than the invader: The West are the aggressors;URW: Blaming the war on others rather than the invader: Ukraine is the aggressor;URW: Discrediting Ukraine: Ukraine is associated with nazism;URW: Discrediting Ukraine: Ukraine is a puppet of the West;URW: Discrediting Ukraine: Discrediting Ukrainian government and officials and policies;URW: Discrediting Ukraine: Discrediting Ukrainian military;URW: Russia is the Victim: The West is russophobic;URW: Russia is the Victim: Russia actions in Ukraine are only self-defence;URW: Russia is the Victim: UA is anti-RU extremists;URW: Discrediting the West, Diplomacy: The West does not care about Ukraine, only about its interests;URW: Distrust towards Media: Western media is an instrument of propaganda;URW: Amplifying war-related fears: NATO should/will directly intervene;URW: Amplifying war-related fears: Other;URW: Hidden plots by secret schemes of powerful groups: Other;URW: Speculating war outcomes: Other;URW: Praise of Russia: Praise of Russian President Vladimir Putin;URW: Praise of Russia: Russia is a guarantor of peace and prosperity;URW: Praise of Russia: Other
RU_TEST_00044.txt	URW: Speculating war outcomes	URW: Speculating war outcomes: Other
CC_TEST_00018.txt	CC: Amplifying Climate Fears;CC: Criticism of climate policies;CC: Criticism of institutions and authorities;CC: Controversy about green technologies	CC: Amplifying Climate Fears: Amplifying existing fears of global warming;CC: Amplifying Climate Fears: Other;CC: Criticism of climate policies: Climate policies are ineffective;CC: Criticism of climate policies: Climate policies have negative impact on the economy;CC: Criticism of climate policies: Other;CC: Criticism of institutions and authorities: Criticism of national governments;CC: Criticism of institutions and authorities: Criticism of political organizations and figures;CC: Controversy about green technologies: Nuclear energy is not climate friendly;CC: Controversy about green technologies: Other
CC_TEST_00038.txt	CC: Criticism of institutions and authorities;CC: Controversy about green technologies;CC: Amplifying Climate Fears;CC: Criticism of climate policies	CC: Criticism of institutions and authorities: Criticism of political organizations and figures;CC: Controversy about green technologies: Other;CC: Amplifying Climate Fears: Other;CC: Criticism of climate policies: Other
RU_TEST_00009.txt	URW: Discrediting Ukraine;URW: Blaming the war on others rather than the invader;URW: Discrediting the West, Diplomacy;URW: Speculating war outcomes;URW: Praise of Russia;URW: Amplifying war-related fears;URW: Russia is the Victim	URW: Discrediting Ukraine: Ukraine is associated with nazism;URW: Discrediting Ukraine: Discrediting Ukrainian military;URW: Discrediting Ukraine: Discrediting Ukrainian government and officials and policies;URW: Discrediting Ukraine: Situation in Ukraine is hopeless;URW: Blaming the war on others rather than the invader: Ukraine is the aggressor;URW: Blaming the war on others rather than the invader: The West are the aggressors;URW: Discrediting the West, Diplomacy: Diplomacy does/will not work;URW: Speculating war outcomes: Ukrainian army is collapsing;URW: Speculating war outcomes: Other;URW: Praise of Russia: Russia is a guarantor of peace and prosperity;URW: Praise of Russia: Praise of Russian military might;URW: Praise of Russia: Other;URW: Amplifying war-related fears: Other;URW: Russia is the Victim: UA is anti-RU extremists;URW: Russia is the Victim: Other
CC_TEST_00046.txt	CC: Amplifying Climate Fears;CC: Hidden plots by secret schemes of powerful groups;CC: Criticism of climate movement;CC: Criticism of institutions and authorities;CC: Controversy about green technologies	CC: Amplifying Climate Fears: Amplifying existing fears of global warming;CC: Amplifying Climate Fears: Doomsday scenarios for humans;CC: Amplifying Climate Fears: Other;CC: Hidden plots by secret schemes of powerful groups: Climate agenda has hidden motives;CC: Criticism of climate movement: Climate movement is alarmist;CC: Criticism of climate movement: Climate movement is corrupt;CC: Criticism of climate movement: Ad hominem attacks on key activists;CC: Controversy about green technologies: Other
