RU-URW-1190.txt	Other	Other
RU-URW-1188.txt	Other	Other
RU-URW-1189.txt	URW: Praise of Russia	URW: Praise of Russia: Praise of Russian military might;URW: Praise of Russia: Russia is a guarantor of peace and prosperity
RU-URW-1186.txt	URW: Discrediting Ukraine;URW: Praise of Russia	URW: Discrediting Ukraine: Discrediting Ukrainian military;URW: Praise of Russia: Praise of Russian military might
RU-URW-1198.txt	URW: Russia is the Victim;URW: Discrediting Ukraine;URW: Praise of Russia	URW: Russia is the Victim: Other;URW: Discrediting Ukraine: Ukraine is a hub for criminal activities;URW: Discrediting Ukraine: Discrediting Ukrainian government and officials and policies;URW: Praise of Russia: Other;URW: Praise of Russia: Russia is a guarantor of peace and prosperity
RU-URW-1235.txt	URW: Praise of Russia;URW: Speculating war outcomes	URW: Praise of Russia: Russia is a guarantor of peace and prosperity;URW: Praise of Russia: Russian invasion has strong national support;URW: Praise of Russia: Praise of Russian President Vladimir Putin;URW: Praise of Russia: Praise of Russian military might;URW: Praise of Russia: Other;URW: Speculating war outcomes: Other
RU-URW-1295.txt	URW: Discrediting Ukraine;URW: Blaming the war on others rather than the invader;URW: Amplifying war-related fears	URW: Discrediting Ukraine: Discrediting Ukrainian military;URW: Discrediting Ukraine: Ukraine is a puppet of the West;URW: Blaming the war on others rather than the invader: Ukraine is the aggressor;URW: Amplifying war-related fears: Other
RU-URW-1208.txt	URW: Discrediting Ukraine;URW: Praise of Russia;URW: Speculating war outcomes	URW: Discrediting Ukraine: Discrediting Ukrainian government and officials and policies;URW: Discrediting Ukraine: Discrediting Ukrainian military;URW: Discrediting Ukraine: Situation in Ukraine is hopeless;URW: Praise of Russia: Praise of Russian military might;URW: Speculating war outcomes: Ukrainian army is collapsing
RU-URW-1185.txt	URW: Russia is the Victim;URW: Blaming the war on others rather than the invader;URW: Discrediting Ukraine	URW: Russia is the Victim: Other;URW: Blaming the war on others rather than the invader: Ukraine is the aggressor;URW: Discrediting Ukraine: Discrediting Ukrainian government and officials and policies;URW: Discrediting Ukraine: Discrediting Ukrainian nation and society
RU-URW-1204.txt	URW: Speculating war outcomes;URW: Discrediting the West, Diplomacy	URW: Speculating war outcomes: Other;URW: Discrediting the West, Diplomacy: The EU is divided
RU-URW-1227.txt	URW: Discrediting Ukraine;URW: Praise of Russia;URW: Speculating war outcomes;URW: Amplifying war-related fears	URW: Discrediting Ukraine: Situation in Ukraine is hopeless;URW: Discrediting Ukraine: Discrediting Ukrainian military;URW: Discrediting Ukraine: Discrediting Ukrainian government and officials and policies;URW: Praise of Russia: Praise of Russian military might;URW: Speculating war outcomes: Ukrainian army is collapsing;URW: Speculating war outcomes: Other;URW: Amplifying war-related fears: Other
RU-URW-1226.txt	URW: Discrediting Ukraine;URW: Blaming the war on others rather than the invader;URW: Discrediting the West, Diplomacy	URW: Discrediting Ukraine: Discrediting Ukrainian government and officials and policies;URW: Blaming the war on others rather than the invader: Other;URW: Blaming the war on others rather than the invader: Ukraine is the aggressor;URW: Discrediting the West, Diplomacy: Diplomacy does/will not work
RU-URW-1222.txt	URW: Blaming the war on others rather than the invader;URW: Amplifying war-related fears	URW: Blaming the war on others rather than the invader: Ukraine is the aggressor;URW: Amplifying war-related fears: Other
RU-URW-1200.txt	Other	Other
RU-URW-1292.txt	URW: Praise of Russia;URW: Negative Consequences for the West;URW: Amplifying war-related fears;URW: Discrediting the West, Diplomacy;URW: Speculating war outcomes	URW: Praise of Russia: Other;URW: Negative Consequences for the West: Other;URW: Negative Consequences for the West: Sanctions imposed by Western countries will backfire;URW: Amplifying war-related fears: Other;URW: Discrediting the West, Diplomacy: The West is weak;URW: Discrediting the West, Diplomacy: Diplomacy does/will not work;URW: Discrediting the West, Diplomacy: Other;URW: Speculating war outcomes: Other
RU-URW-1302.txt	URW: Negative Consequences for the West;URW: Speculating war outcomes	URW: Negative Consequences for the West: Sanctions imposed by Western countries will backfire;URW: Speculating war outcomes: Other
RU-URW-1216.txt	URW: Discrediting Ukraine;URW: Hidden plots by secret schemes of powerful groups	URW: Discrediting Ukraine: Discrediting Ukrainian government and officials and policies;URW: Hidden plots by secret schemes of powerful groups: Other
RU-URW-1238.txt	URW: Praise of Russia	URW: Praise of Russia: Praise of Russian military might
RU-URW-1217.txt	URW: Russia is the Victim;URW: Discrediting the West, Diplomacy	URW: Russia is the Victim: The West is russophobic;URW: Russia is the Victim: Other;URW: Discrediting the West, Diplomacy: Diplomacy does/will not work
RU-URW-1317.txt	URW: Russia is the Victim;URW: Discrediting Ukraine;URW: Speculating war outcomes;URW: Amplifying war-related fears;URW: Discrediting the West, Diplomacy;URW: Hidden plots by secret schemes of powerful groups	URW: Russia is the Victim: Other;URW: Speculating war outcomes: Ukrainian army is collapsing;URW: Speculating war outcomes: Other;URW: Amplifying war-related fears: There is a real possibility that nuclear weapons will be employed;URW: Amplifying war-related fears: NATO should/will directly intervene;URW: Amplifying war-related fears: Other;URW: Discrediting the West, Diplomacy: The West does not care about Ukraine, only about its interests;URW: Hidden plots by secret schemes of powerful groups: Other
RU-URW-1237.txt	URW: Speculating war outcomes	URW: Speculating war outcomes: Other
RU-URW-1231.txt	URW: Discrediting the West, Diplomacy;URW: Blaming the war on others rather than the invader	URW: Discrediting the West, Diplomacy: Diplomacy does/will not work;URW: Discrediting the West, Diplomacy: The West does not care about Ukraine, only about its interests;URW: Blaming the war on others rather than the invader: The West are the aggressors
RU-URW-1199.txt	Other	Other
RU-URW-1209.txt	URW: Speculating war outcomes;URW: Negative Consequences for the West;URW: Amplifying war-related fears	URW: Speculating war outcomes: Other;URW: Negative Consequences for the West: Other;URW: Amplifying war-related fears: Other
RU-URW-1193.txt	URW: Discrediting the West, Diplomacy	URW: Discrediting the West, Diplomacy: The EU is divided;URW: Discrediting the West, Diplomacy: Diplomacy does/will not work;URW: Discrediting the West, Diplomacy: The West is overreacting;URW: Discrediting the West, Diplomacy: Other
RU-URW-1236.txt	URW: Praise of Russia;URW: Hidden plots by secret schemes of powerful groups;URW: Discrediting Ukraine;URW: Speculating war outcomes	URW: Praise of Russia: Praise of Russian military might;URW: Hidden plots by secret schemes of powerful groups: Other;URW: Discrediting Ukraine: Discrediting Ukrainian military;URW: Discrediting Ukraine: Discrediting Ukrainian government and officials and policies;URW: Speculating war outcomes: Other
