RU-URW-1190.txt	Other	Other
RU-URW-1188.txt	Other	Other
RU-URW-1186.txt	URW: Discrediting Ukraine;URW: Praise of Russia	URW: Discrediting Ukraine: Discrediting Ukrainian military;URW: Praise of Russia: Praise of Russian military might
RU-URW-1295.txt	URW: Blaming the war on others rather than the invader;URW: Discrediting Ukraine	URW: Blaming the war on others rather than the invader: Ukraine is the aggressor;URW: Discrediting Ukraine: Discrediting Ukrainian military
RU-URW-1189.txt	URW: Praise of Russia	URW: Praise of Russia: Praise of Russian military might;URW: Praise of Russia: Other
RU-URW-1198.txt	URW: Discrediting Ukraine;URW: Russia is the Victim;URW: Praise of Russia	URW: Discrediting Ukraine: Ukraine is a hub for criminal activities;URW: Discrediting Ukraine: Discrediting Ukrainian government and officials and policies;URW: Russia is the Victim: Other;URW: Praise of Russia: Other
RU-URW-1317.txt	URW: Speculating war outcomes;URW: Discrediting Ukraine;URW: Amplifying war-related fears;URW: Hidden plots by secret schemes of powerful groups;URW: Blaming the war on others rather than the invader	URW: Speculating war outcomes: Other;URW: Discrediting Ukraine: Discrediting Ukrainian government and officials and policies;URW: Discrediting Ukraine: Discrediting Ukrainian military;URW: Amplifying war-related fears: NATO should/will directly intervene;URW: Amplifying war-related fears: There is a real possibility that nuclear weapons will be employed;URW: Amplifying war-related fears: Other;URW: Hidden plots by secret schemes of powerful groups: Other;URW: Blaming the war on others rather than the invader: The West are the aggressors
RU-URW-1227.txt	URW: Praise of Russia;URW: Discrediting Ukraine;URW: Speculating war outcomes;URW: Amplifying war-related fears	URW: Praise of Russia: Praise of Russian military might;URW: Discrediting Ukraine: Discrediting Ukrainian military;URW: Discrediting Ukraine: Discrediting Ukrainian government and officials and policies;URW: Discrediting Ukraine: Situation in Ukraine is hopeless;URW: Speculating war outcomes: Other;URW: Amplifying war-related fears: Other
RU-URW-1235.txt	URW: Praise of Russia;URW: Speculating war outcomes	URW: Praise of Russia: Russia is a guarantor of peace and prosperity;URW: Praise of Russia: Russian invasion has strong national support;URW: Speculating war outcomes: Other
RU-URW-1292.txt	URW: Praise of Russia;URW: Speculating war outcomes;URW: Negative Consequences for the West;URW: Amplifying war-related fears;URW: Discrediting the West, Diplomacy	URW: Praise of Russia: Other;URW: Speculating war outcomes: Other;URW: Negative Consequences for the West: Sanctions imposed by Western countries will backfire;URW: Negative Consequences for the West: Other;URW: Amplifying war-related fears: Other;URW: Discrediting the West, Diplomacy: The West is weak;URW: Discrediting the West, Diplomacy: Diplomacy does/will not work;URW: Discrediting the West, Diplomacy: Other
RU-URW-1185.txt	URW: Blaming the war on others rather than the invader;URW: Discrediting Ukraine	URW: Blaming the war on others rather than the invader: Ukraine is the aggressor;URW: Discrediting Ukraine: Other
RU-URW-1222.txt	URW: Russia is the Victim;URW: Speculating war outcomes;URW: Blaming the war on others rather than the invader	URW: Russia is the Victim: Other;URW: Blaming the war on others rather than the invader: Ukraine is the aggressor
RU-URW-1200.txt	Other	Other
RU-URW-1211.txt	URW: Discrediting Ukraine;URW: Amplifying war-related fears;URW: Discrediting the West, Diplomacy;URW: Hidden plots by secret schemes of powerful groups;URW: Speculating war outcomes;URW: Blaming the war on others rather than the invader	URW: Discrediting Ukraine: Ukraine is a puppet of the West;URW: Discrediting Ukraine: Situation in Ukraine is hopeless;URW: Discrediting Ukraine: Discrediting Ukrainian government and officials and policies;URW: Amplifying war-related fears: NATO should/will directly intervene;URW: Amplifying war-related fears: Other;URW: Discrediting the West, Diplomacy: The EU is divided;URW: Discrediting the West, Diplomacy: The West is overreacting;URW: Discrediting the West, Diplomacy: Diplomacy does/will not work;URW: Discrediting the West, Diplomacy: The West does not care about Ukraine, only about its interests;URW: Discrediting the West, Diplomacy: Other;URW: Hidden plots by secret schemes of powerful groups: Other;URW: Speculating war outcomes: Ukrainian army is collapsing;URW: Speculating war outcomes: Other;URW: Blaming the war on others rather than the invader: The West are the aggressors
RU-URW-1302.txt	URW: Speculating war outcomes;URW: Negative Consequences for the West	URW: Speculating war outcomes: Other;URW: Negative Consequences for the West: Sanctions imposed by Western countries will backfire
RU-URW-1226.txt	URW: Discrediting Ukraine;URW: Discrediting the West, Diplomacy;URW: Speculating war outcomes	URW: Discrediting Ukraine: Discrediting Ukrainian government and officials and policies;URW: Discrediting the West, Diplomacy: Diplomacy does/will not work;URW: Discrediting the West, Diplomacy: The West does not care about Ukraine, only about its interests
RU-URW-1204.txt	URW: Speculating war outcomes;URW: Discrediting the West, Diplomacy	URW: Discrediting the West, Diplomacy: The EU is divided;URW: Discrediting the West, Diplomacy: The West is overreacting
RU-URW-1208.txt	URW: Blaming the war on others rather than the invader;URW: Discrediting Ukraine;URW: Speculating war outcomes	URW: Blaming the war on others rather than the invader: Ukraine is the aggressor;URW: Discrediting Ukraine: Discrediting Ukrainian government and officials and policies;URW: Discrediting Ukraine: Discrediting Ukrainian military;URW: Speculating war outcomes: Ukrainian army is collapsing
RU-URW-1205.txt	URW: Speculating war outcomes;URW: Discrediting the West, Diplomacy;URW: Negative Consequences for the West	URW: Speculating war outcomes: Other;URW: Discrediting the West, Diplomacy: The West is weak;URW: Discrediting the West, Diplomacy: Diplomacy does/will not work;URW: Negative Consequences for the West: Other
RU-URW-1217.txt	URW: Russia is the Victim;URW: Speculating war outcomes	URW: Russia is the Victim: Other;URW: Speculating war outcomes: Other
RU-URW-1238.txt	URW: Praise of Russia;URW: Discrediting Ukraine	URW: Praise of Russia: Praise of Russian military might;URW: Discrediting Ukraine: Discrediting Ukrainian military
RU-URW-1216.txt	URW: Discrediting Ukraine;URW: Hidden plots by secret schemes of powerful groups	URW: Discrediting Ukraine: Discrediting Ukrainian government and officials and policies;URW: Hidden plots by secret schemes of powerful groups: Other
RU-URW-1199.txt	Other	Other
RU-URW-1231.txt	URW: Blaming the war on others rather than the invader;URW: Discrediting the West, Diplomacy	URW: Blaming the war on others rather than the invader: The West are the aggressors;URW: Discrediting the West, Diplomacy: The West does not care about Ukraine, only about its interests
RU-URW-1193.txt	URW: Discrediting the West, Diplomacy	URW: Discrediting the West, Diplomacy: The EU is divided;URW: Discrediting the West, Diplomacy: Diplomacy does/will not work
